cv_inf_ms,proc_time_ms
101.355,125.4
97.574,121.06
102.162,134.02
110.643,128.41
101.863,134.78
108.805,131.35
107.867,143.87
152.618,209.06
147.216,173.03
123.064,149.79
78.585,104.52
151.551,176.06
101.088,123.73
87.953,114.08
102.378,127.27
110.243,137.54
74.701,100.9
116.202,141.83
104.094,129.95
112.837,142.04
103.545,129.27
147.688,177.34
108.441,130.96
116.443,140.96
111.962,136.72
116.462,139.02
105.139,129.79
118.092,144.31
107.791,133.14
96.544,128.3
112.558,134.11
112.798,140.88
92.616,118.48
108.922,132.95
155.025,178.94
118.559,142.25
106.523,131.55
103.02,125.9
115.21,136.48
109.867,130.18
117.992,139.64
110.704,136.67
112.123,138.49
117.162,140.14
132.869,172.69
122.807,176.74
130.362,149.76
106.233,124.78
85.186,105.24
107.819,129.56
130.978,152.03
151.292,170.05
110.876,129.94
109.725,128.18
124.572,142.2
139.757,159.4
171.208,220.61
122.216,168.07
98.84,110.93
125.981,139.37
143.696,160.66
112.934,125.08
99.973,128.49
112.966,125.31
115.223,130.42
115.242,128.74
127.845,138.96
114.347,151.65
154.498,171.37
95.259,109.02
133.332,146.79
127.253,182.76
132.352,152.09
143.463,163.85
132.178,158.32
119.466,176.61
115.554,136.49
127.075,150.18
102.184,125.48
148.825,170.75
100.595,119.88
79.073,101.93
89.22,114.99
96.245,120.08
99.94,129.78
114.838,138.67
93.628,125.95
100.048,125.67
116.047,137.21
99.739,135.38
110.441,134.76
70.834,98.28
118.547,143.92
78.119,103.69
102.233,134.02
100.772,134.62
93.217,118.79
100.067,125.32
97.573,136.64
88.742,109.66
111.395,137.91
112.011,133.59
99.519,130.43
125.284,150.95
122.776,159.83
82.136,105.81
98.227,129.04
124.934,150.42
78.71,104.23
93.395,114.58
112.134,135.02
128.401,148.27
84.365,111.72
112.119,137.83
146.546,170.28
126.204,154.4
125.676,148.43
124.466,150.37
116.927,142.54
133.895,154.82
99.062,162.3
143.75,170.25
119.558,142.18
137.203,157.54
126.47,148.36
119.546,145.11
85.579,111.27
128.282,153.73
83.459,126.92
115.927,133.37
90.073,112.64
101.561,123.38
99.834,122.63
123.14,152.53
144.283,173.06
110.833,137.32
90.553,107.91
107.777,131.93
89.639,115.92
78.382,108.58
103.843,132.67
92.66,118.98
103.966,129.29
129.358,152.44
140.336,164.36
125.596,146.78
131.337,150.62
128.462,148.52
133.042,151.62
131.007,164.14
112.726,174.65
123.304,147.25
119.008,180.47
136.014,159.04
133.907,158.36
131.856,151.46
109.445,130.92
121.047,143.1
116.696,137.56
141.419,199.13
144.58,166.1
133.346,151.08
127.334,151.41
119.519,136.79
123.033,145.66
135.883,156.87
95.644,114.97
132.281,161.18
122.899,142.41
132.518,153.12
