Application:, Trigno Discover (2.0.1.2)
Date/Time:, 5/14/2025 12:03:46 PM
Collection Length (seconds):, 34.5735
Forearm 2 (83169), , , , , , , , Forearm 1 (82633), , , , , , , , Biceps (83254), , , , , , , , Triceps (83087)
sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0155769, -0.0386053, 0.405, -0.2451172, 0.405, -0.996582, 0.405, 0.0717773, 0.0155769, -0.0068818, 0.405, 0.2827148, 0.405, -0.9560547, 0.405, -0.1650391, 0.0155769, -0.0072175, 0.405, 0.1411133, 0.405, -1.0039062, 0.405, -0.1025391, 0.0155769, 0.0248417, 0.405, -0.090332, 0.405, -1, 0.405, 0.0332031, , , , , , , , , , , , , , , , , , , , , , 
0.0160962, -0.0421302, 0.4185, -0.2426758, 0.4185, -0.9985352, 0.4185, 0.0703125, 0.0160962, -0.0078889, 0.4185, 0.2827148, 0.4185, -0.9580078, 0.4185, -0.1679688, 0.0160962, -0.0063783, 0.4185, 0.1435547, 0.4185, -1.0009766, 0.4185, -0.1049805, 0.0160962, 0.027863, 0.4185, -0.0913086, 0.4185, -1, 0.4185, 0.0322266, , , , , , , , , , , , , , , , , , , , , , 
0.0166154, -0.0451514, 0.432, -0.2421875, 0.432, -0.9975586, 0.432, 0.0683594, 0.0166154, -0.0068818, 0.432, 0.2768555, 0.432, -0.9580078, 0.432, -0.1689453, 0.0166154, -0.0041962, 0.432, 0.1435547, 0.432, -1.0004883, 0.432, -0.1035156, 0.0166154, 0.030045, 0.432, -0.0854492, 0.432, -0.9995117, 0.432, 0.0288086, , , , , , , , , , , , , , , , , , , , , , 
0.0171346, -0.0451514, 0.4455, -0.2460938, 0.4455, -0.9946289, 0.4455, 0.0678711, 0.0171346, -0.0062104, 0.4455, 0.2695312, 0.4455, -0.9550781, 0.4455, -0.1689453, 0.0171346, -0.0038605, 0.4455, 0.144043, 0.4455, -0.9990234, 0.4455, -0.1040039, 0.0171346, 0.0317235, 0.4455, -0.0830078, 0.4455, -0.9985352, 0.4455, 0.03125, , , , , , , , , , , , , , , , , , , , , , 
0.0176538, -0.0419623, 0.459, -0.25, 0.459, -0.9960938, 0.459, 0.0678711, 0.0176538, -0.005539, 0.459, 0.2670898, 0.459, -0.9541016, 0.459, -0.1728516, 0.0176538, -0.0050355, 0.459, 0.140625, 0.459, -1.0009766, 0.459, -0.1049805, 0.0176538, 0.030045, 0.459, -0.0805664, 0.459, -1, 0.459, 0.0327148, , , , , , , , , , , , , , , , , , , , , , 
0.0181731, -0.0313878, 0.4725, -0.2485352, 0.4725, -0.9970703, 0.4725, 0.0678711, 0.0181731, -0.005539, 0.4725, 0.265625, 0.4725, -0.9555664, 0.4725, -0.1757812, 0.0181731, -0.0057069, 0.4725, 0.1455078, 0.4725, -1.0009766, 0.4725, -0.105957, 0.0181731, 0.0260166, 0.4725, -0.081543, 0.4725, -0.9990234, 0.4725, 0.0307617, , , , , , , , , , , , , , , , , , , , , , 
0.0186923, -0.018967, 0.486, -0.25, 0.486, -0.9951172, 0.486, 0.0678711, 0.0186923, -0.0062104, 0.486, 0.2739258, 0.486, -0.956543, 0.486, -0.1733398, 0.0186923, -0.0057069, 0.486, 0.1425781, 0.486, -1.0029297, 0.486, -0.1040039, 0.0186923, 0.0231632, 0.486, -0.081543, 0.486, -1.0014648, 0.486, 0.0292969, , , , , , , , , , , , , , , , , , , , , , 
0.0192115, -0.0082246, 0.4995, -0.2509766, 0.4995, -0.9951172, 0.4995, 0.0688477, 0.0192115, -0.0072175, 0.4995, 0.2827148, 0.4995, -0.9555664, 0.4995, -0.1655273, 0.0192115, -0.0068818, 0.4995, 0.1416016, 0.4995, -1.0014648, 0.4995, -0.1040039, 0.0192115, 0.021149, 0.4995, -0.0854492, 0.4995, -0.9980469, 0.4995, 0.0292969, , , , , , , , , , , , , , , , , , , , , , 
0.0197308, 0.0011749, 0.513, -0.2451172, 0.513, -0.9946289, 0.513, 0.0693359, 0.0197308, -0.0082246, 0.513, 0.28125, 0.513, -0.9526367, 0.513, -0.1655273, 0.0197308, -0.0082246, 0.513, 0.1381836, 0.513, -0.9946289, 0.513, -0.1000977, 0.0197308, 0.0196384, 0.513, -0.0927734, 0.513, -0.9941406, 0.513, 0.03125, , , , , , , , , , , , , , , , , , , , , , 
0.02025, 0.0045319, 0.5265, -0.2368164, 0.5265, -0.996582, 0.5265, 0.0703125, 0.02025, -0.0082246, 0.5265, 0.2797852, 0.5265, -0.9541016, 0.5265, -0.1674805, 0.02025, -0.0082246, 0.5265, 0.1420898, 0.5265, -0.996582, 0.5265, -0.1044922, 0.02025, 0.0179599, 0.5265, -0.0839844, 0.5265, -0.9980469, 0.5265, 0.0292969, , , , , , , , , , , , , , , , , , , , , , 
