Timestamps,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z
15_00_21_238,1.0,0.0,-6.0,11.0,-1.0,-1.0,-1.0,-2.0,0.94775390625,-0.3095703125,0.11376953125,21.097560975609756,1.707317073170732,15.121951219512196
15_00_21_238,-1.0,1.0,11.0,12.0,-4.0,-7.0,-2.0,-3.0,0.95361328125,-0.30126953125,0.107421875,21.463414634146343,1.5853658536585367,13.658536585365855
15_00_21_238,-1.0,-3.0,-9.0,-22.0,0.0,0.0,0.0,0.0,0.953125,-0.296875,0.111328125,21.707317073170735,0.853658536585366,12.317073170731708
15_00_21_289,2.0,-2.0,-5.0,-3.0,-2.0,-3.0,0.0,-1.0,0.9423828125,-0.2822265625,0.12646484375,25.121951219512198,0.1829268292682927,15.975609756097562
15_00_21_289,1.0,-6.0,4.0,1.0,1.0,1.0,0.0,-1.0,0.9482421875,-0.28466796875,0.126953125,28.04878048780488,-0.12195121951219513,16.28048780487805
15_00_21_289,-1.0,2.0,-6.0,0.0,0.0,1.0,-2.0,0.0,0.95068359375,-0.29296875,0.1171875,29.81707317073171,-0.1829268292682927,17.073170731707318
15_00_21_289,-2.0,1.0,-2.0,-3.0,1.0,0.0,-3.0,0.0,0.95654296875,-0.30078125,0.1201171875,29.26829268292683,0.1829268292682927,17.804878048780488
15_00_21_289,0.0,-2.0,-1.0,-1.0,-2.0,-1.0,0.0,-2.0,0.9599609375,-0.302734375,0.11474609375,27.134146341463417,0.5487804878048781,18.10975609756098
15_00_21_289,-1.0,-4.0,-1.0,0.0,0.0,-2.0,-2.0,-1.0,0.951171875,-0.298828125,0.11865234375,24.81707317073171,1.0365853658536586,17.682926829268293
15_00_21_289,-3.0,1.0,-5.0,-6.0,0.0,2.0,0.0,0.0,0.95556640625,-0.30615234375,0.12255859375,23.353658536585368,1.829268292682927,17.073170731707318
15_00_21_289,-2.0,-3.0,2.0,-4.0,-3.0,0.0,2.0,0.0,0.9609375,-0.3125,0.12255859375,23.963414634146343,1.829268292682927,16.585365853658537
15_00_21_289,-3.0,-5.0,-7.0,-6.0,-1.0,2.0,-2.0,0.0,0.9599609375,-0.31689453125,0.11572265625,22.926829268292686,2.073170731707317,16.402439024390244
15_00_21_289,2.0,0.0,0.0,11.0,-1.0,4.0,1.0,-1.0,0.9541015625,-0.3125,0.11669921875,21.585365853658537,2.0121951219512195,16.219512195121954
15_00_21_336,0.0,-1.0,1.0,0.0,-3.0,-2.0,-3.0,-3.0,0.94189453125,-0.3037109375,0.1337890625,22.500000000000004,-1.2804878048780488,13.719512195121952
15_00_21_336,-1.0,-1.0,-6.0,-4.0,-3.0,0.0,-1.0,3.0,0.939453125,-0.29248046875,0.12646484375,23.902439024390247,-0.7317073170731708,15.182926829268293
15_00_21_336,0.0,-1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.9423828125,-0.2822265625,0.12646484375,25.121951219512198,0.1829268292682927,15.975609756097562
15_00_21_336,-4.0,2.0,-1.0,-3.0,-2.0,0.0,1.0,0.0,0.9482421875,-0.28466796875,0.126953125,28.04878048780488,-0.12195121951219513,16.28048780487805
15_00_21_336,1.0,3.0,-1.0,1.0,0.0,-1.0,-1.0,-3.0,0.95068359375,-0.29296875,0.1171875,29.81707317073171,-0.1829268292682927,17.073170731707318
15_00_21_336,1.0,-2.0,-3.0,0.0,-2.0,0.0,-2.0,-1.0,0.95654296875,-0.30078125,0.1201171875,29.26829268292683,0.1829268292682927,17.804878048780488
15_00_21_336,2.0,-2.0,-5.0,-3.0,-2.0,-3.0,0.0,-1.0,0.9599609375,-0.302734375,0.11474609375,27.134146341463417,0.5487804878048781,18.10975609756098
15_00_21_336,1.0,-6.0,4.0,1.0,1.0,1.0,0.0,-1.0,0.951171875,-0.298828125,0.11865234375,24.81707317073171,1.0365853658536586,17.682926829268293
15_00_21_336,-1.0,2.0,-6.0,0.0,0.0,1.0,-2.0,0.0,0.95556640625,-0.30615234375,0.12255859375,23.353658536585368,1.829268292682927,17.073170731707318
15_00_21_336,-2.0,1.0,-2.0,-3.0,1.0,0.0,-3.0,0.0,0.9609375,-0.3125,0.12255859375,23.963414634146343,1.829268292682927,16.585365853658537
15_00_21_388,-1.0,0.0,-3.0,-3.0,-1.0,-1.0,-1.0,0.0,0.94482421875,-0.30859375,0.123046875,20.243902439024392,-1.524390243902439,10.914634146341465
15_00_21_388,-1.0,2.0,-4.0,-3.0,-2.0,-1.0,0.0,-2.0,0.94091796875,-0.31103515625,0.1298828125,22.25609756097561,-1.6463414634146343,12.256097560975611
15_00_21_388,-2.0,0.0,1.0,-2.0,-3.0,-2.0,-1.0,-1.0,0.94189453125,-0.3037109375,0.1337890625,22.500000000000004,-1.2804878048780488,13.719512195121952
