Application:, Trigno Discover (2.0.1.2)
Date/Time:, 5/14/2025 12:07:40 PM
Collection Length (seconds):, 42.525
Forearm 2 (83169), , , , , , , , Forearm 1 (82633), , , , , , , , Biceps (83254), , , , , , , , Triceps (83087)
sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45, , , , , , , , sensor mode: 45
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0155769, 0.0166171, 0.405, -0.253418, 0.405, -0.9819336, 0.405, 0.1235352, 0.0155769, -0.0072175, 0.405, 0.3330078, 0.405, -0.934082, 0.405, -0.1972656, 0.0155769, -0.0052033, 0.405, 0.1567383, 0.405, -1.0004883, 0.405, -0.027832, 0.0155769, 0.0157778, 0.405, -0.159668, 0.405, -0.9887695, 0.405, 0.0488281, , , , , , , , , , , , , , , , , , , , , , 
0.0160962, 0.0166171, 0.4185, -0.2617188, 0.4185, -0.9799805, 0.4185, 0.1259766, 0.0160962, -0.0075532, 0.4185, 0.3271484, 0.4185, -0.9384766, 0.4185, -0.1982422, 0.0160962, -0.005539, 0.4185, 0.1499023, 0.4185, -1.0043945, 0.4185, -0.0273438, 0.0160962, 0.0162814, 0.4185, -0.1591797, 0.4185, -0.9931641, 0.4185, 0.0517578, , , , , , , , , , , , , , , , , , , , , , 
0.0166154, 0.014435, 0.432, -0.2705078, 0.432, -0.9833984, 0.432, 0.1210938, 0.0166154, -0.0068818, 0.432, 0.3291016, 0.432, -0.9365234, 0.432, -0.1958008, 0.0166154, -0.0063783, 0.432, 0.1411133, 0.432, -1.0048828, 0.432, -0.0268555, 0.0166154, 0.0169528, 0.432, -0.1591797, 0.432, -0.987793, 0.432, 0.0546875, , , , , , , , , , , , , , , , , , , , , , 
0.0171346, 0.0149386, 0.4455, -0.2700195, 0.4455, -0.984375, 0.4455, 0.1210938, 0.0171346, -0.0068818, 0.4455, 0.3325195, 0.4455, -0.9370117, 0.4455, -0.1918945, 0.0171346, -0.0082246, 0.4455, 0.140625, 0.4455, -1.0053711, 0.4455, -0.027832, 0.0171346, 0.0169528, 0.4455, -0.1645508, 0.4455, -0.9853516, 0.4455, 0.0527344, , , , , , , , , , , , , , , , , , , , , , 
0.0176538, 0.0146029, 0.459, -0.2626953, 0.459, -0.9780273, 0.459, 0.1230469, 0.0176538, -0.0063783, 0.459, 0.328125, 0.459, -0.9379883, 0.459, -0.1958008, 0.0176538, -0.0092317, 0.459, 0.1499023, 0.459, -1.0009766, 0.459, -0.0302734, 0.0176538, 0.0159457, 0.459, -0.1625977, 0.459, -0.987793, 0.459, 0.0522461, , , , , , , , , , , , , , , , , , , , , , 
0.0181731, 0.0159457, 0.4725, -0.2578125, 0.4725, -0.9775391, 0.4725, 0.1240234, 0.0181731, -0.0072175, 0.4725, 0.3261719, 0.4725, -0.934082, 0.4725, -0.2001953, 0.0181731, -0.010071, 0.4725, 0.1542969, 0.4725, -0.9980469, 0.4725, -0.0288086, 0.0181731, 0.0152743, 0.4725, -0.1640625, 0.4725, -0.9873047, 0.4725, 0.0517578, , , , , , , , , , , , , , , , , , , , , , 
0.0186923, 0.0226596, 0.486, -0.2602539, 0.486, -0.9824219, 0.486, 0.1240234, 0.0186923, -0.0082246, 0.486, 0.3334961, 0.486, -0.9301758, 0.486, -0.1987305, 0.0186923, -0.0102388, 0.486, 0.1459961, 0.486, -0.9995117, 0.486, -0.0249023, 0.0186923, 0.01561, 0.486, -0.1660156, 0.486, -0.9838867, 0.486, 0.0532227, , , , , , , , , , , , , , , , , , , , , , 
0.0192115, 0.0240024, 0.4995, -0.2641602, 0.4995, -0.9819336, 0.4995, 0.1240234, 0.0192115, -0.0082246, 0.4995, 0.3325195, 0.4995, -0.9335938, 0.4995, -0.1958008, 0.0192115, -0.0092317, 0.4995, 0.1416016, 0.4995, -1.0014648, 0.4995, -0.027832, 0.0192115, 0.0152743, 0.4995, -0.1630859, 0.4995, -0.984375, 0.4995, 0.0483398, , , , , , , , , , , , , , , , , , , , , , 
0.0197308, 0.0199741, 0.513, -0.2651367, 0.513, -0.9755859, 0.513, 0.121582, 0.0197308, -0.0078889, 0.513, 0.3286133, 0.513, -0.9365234, 0.513, -0.1914062, 0.0197308, -0.008896, 0.513, 0.1474609, 0.513, -1.0019531, 0.513, -0.0283203, 0.0197308, 0.0146029, 0.513, -0.1577148, 0.513, -0.9868164, 0.513, 0.0498047, , , , , , , , , , , , , , , , , , , , , , 
0.02025, 0.0167849, 0.5265, -0.2646484, 0.5265, -0.9780273, 0.5265, 0.1201172, 0.02025, -0.0082246, 0.5265, 0.3330078, 0.5265, -0.9331055, 0.5265, -0.1958008, 0.02025, -0.0105745, 0.5265, 0.1503906, 0.5265, -1.0009766, 0.5265, -0.0263672, 0.02025, 0.0151064, 0.5265, -0.1547852, 0.5265, -0.9858398, 0.5265, 0.0498047, , , , , , , , , , , , , , , , , , , , , , 
