Application:, Trigno Discover (2.0.1.2)
Date/Time:, 7/3/2025 10:45:47 AM
Collection Length (seconds):, 44.847
Bicep_R (83254), , , , , , , , , , , , , , Tricep_R (83087)
sensor mode: 50, , , , , , , , , , , , , , sensor mode: 50
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz
, 0.0007941176470588235 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.0007941176470588235 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , 0.00675 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0254118, -0.0082246, 0.216, -0.144104, 0.216, -0.5221558, 0.216, 0.8022461, 0.216, -15.9770994, 0.216, 13.0916033, 0.216, -4.1221375, 0.0254118, 0.0132601, 0.216, -0.6297607, 0.216, -0.7055054, 0.216, -0.4284668, 0.216, -22.3053436, 0.216, 5.9923663, 0.216, 0.7480916, , , , , , , , , , , , , , , , , , , , , , 
0.0262059, -0.0109102, 0.22275, -0.1478882, 0.22275, -0.515564, 0.22275, 0.8001099, 0.22275, -15.5419846, 0.22275, 11.7099237, 0.22275, -4.4122138, 0.0262059, 0.0129244, 0.22275, -0.628418, 0.22275, -0.703125, 0.22275, -0.4359131, 0.22275, -21.4580154, 0.22275, 4.3664122, 0.22275, 1.1679389, , , , , , , , , , , , , , , , , , , , , , 
0.027, -0.0146029, 0.2295, -0.149231, 0.2295, -0.5145874, 0.2295, 0.8010254, 0.2295, -15.5725193, 0.2295, 10.3053436, 0.2295, -4.3969464, 0.027, 0.0135958, 0.2295, -0.6273804, 0.2295, -0.6986694, 0.2295, -0.4395142, 0.2295, -21.1221371, 0.2295, 4.6259542, 0.2295, 1.7862595, , , , , , , , , , , , , , , , , , , , , , 
0.0277941, -0.0139315, 0.23625, -0.1494141, 0.23625, -0.506958, 0.23625, 0.7958374, 0.23625, -15.6259546, 0.23625, 9.3511448, 0.23625, -4.4961834, 0.0277941, 0.0115816, 0.23625, -0.6315918, 0.23625, -0.6967163, 0.23625, -0.4414673, 0.23625, -20.9923668, 0.23625, 5.8091602, 0.23625, 2.389313, , , , , , , , , , , , , , , , , , , , , , 
0.0285882, -0.0095674, 0.243, -0.144165, 0.243, -0.4976196, 0.243, 0.7958374, 0.243, -15.9465647, 0.243, 8.480916, 0.243, -4.4885497, 0.0285882, 0.0139315, 0.243, -0.6311646, 0.243, -0.6913452, 0.243, -0.434021, 0.243, -21.4961834, 0.243, 7.6412215, 0.243, 2.9923663, , , , , , , , , , , , , , , , , , , , , , 
0.0293824, -0.0075532, 0.24975, -0.1397095, 0.24975, -0.4967041, 0.24975, 0.7993774, 0.24975, -16.480917, 0.24975, 8.2900763, 0.24975, -4.259542, 0.0293824, 0.012253, 0.24975, -0.6322632, 0.24975, -0.6925659, 0.24975, -0.4309082, 0.24975, -21.7175579, 0.24975, 9.2519083, 0.24975, 3.2900763, , , , , , , , , , , , , , , , , , , , , , 
0.0301765, -0.0092317, 0.2565, -0.1350708, 0.2565, -0.4977417, 0.2565, 0.8076782, 0.2565, -17.2900772, 0.2565, 8.7786255, 0.2565, -4.2442746, 0.0301765, 0.0068818, 0.2565, -0.6340332, 0.2565, -0.687561, 0.2565, -0.4309082, 0.2565, -21.4656487, 0.2565, 9.8931293, 0.2565, 2.7328243, , , , , , , , , , , , , , , , , , , , , , 
0.0309706, -0.0105745, 0.26325, -0.1269531, 0.26325, -0.50177, 0.26325, 0.8153687, 0.26325, -17.839695, 0.26325, 9.2900763, 0.26325, -4.8015265, 0.0309706, 0.0083925, 0.26325, -0.6351929, 0.26325, -0.6925049, 0.26325, -0.4373779, 0.26325, -20.9694653, 0.26325, 8.9083967, 0.26325, 1.9847329, , , , , , , , , , , , , , , , , , , , , , 
0.0317647, -0.008896, 0.27, -0.1266479, 0.27, -0.5078735, 0.27, 0.8181152, 0.27, -18.3893127, 0.27, 9.5572519, 0.27, -5.4427481, 0.0317647, 0.0072175, 0.27, -0.640625, 0.27, -0.6988525, 0.27, -0.4402466, 0.27, -20.4045811, 0.27, 7.3969464, 0.27, 1.129771, , , , , , , , , , , , , , , , , , , , , , 
0.0325588, -0.0083925, 0.27675, -0.1362305, 0.27675, -0.510376, 0.27675, 0.8190918, 0.27675, -18.67939, 0.27675, 9.9389315, 0.27675, -5.9312978, 0.0325588, 0.0058747, 0.27675, -0.6425781, 0.27675, -0.7004395, 0.27675, -0.4490356, 0.27675, -20.6335869, 0.27675, 6.1679387, 0.27675, 0.8091603, , , , , , , , , , , , , , , , , , , , , , 
0.0333529, -0.0065461, 0.2835, -0.1433716, 0.2835, -0.5153809, 0.2835, 0.8168945, 0.2835, -18.6259537, 0.2835, 10.5954199, 0.2835, -6.0687022, 0.0333529, 0.0090639, 0.2835, -0.6411743, 0.2835, -0.6986084, 0.2835, -0.4522705, 0.2835, -20.9465656, 0.2835, 5.2977099, 0.2835, 0.870229, , , , , , , , , , , , , , , , , , , , , , 
0.0341471, -0.0078889, 0.29025, -0.1483154, 0.29025, -0.515564, 0.29025, 0.8114624, 0.29025, -18.4656487, 0.29025, 11.3740454, 0.29025, -6.3206105, 0.0341471, 0.0099031, 0.29025, -0.6367798, 0.29025, -0.7052002, 0.29025, -0.4483643, 0.29025, -21.0152664, 0.29025, 5.2137403, 0.29025, 1.3664122, , , , , , , , , , , , , , , , , , , , , , 
0.0349412, -0.0102388, 0.297, -0.1534424, 0.297, -0.5112305, 0.297, 0.8076172, 0.297, -18.160305, 0.297, 11.4885492, 0.297, -6.4198475, 0.0349412, 0.011078, 0.297, -0.6340332, 0.297, -0.7042847, 0.297, -0.4455566, 0.297, -21.1221371, 0.297, 6.0534353, 0.297, 1.8778626, , , , , , , , , , , , , , , , , , , , , , 
0.0357353, -0.011078, 0.30375, -0.1480103, 0.30375, -0.5060425, 0.30375, 0.8031616, 0.30375, -17.6564884, 0.30375, 10.9694653, 0.30375, -6.3511453, 0.0357353, 0.0078889, 0.30375, -0.6265259, 0.30375, -0.6991577, 0.30375, -0.4385376, 0.30375, -20.9389305, 0.30375, 7.7099237, 0.30375, 2.2977099, , , , , , , , , , , , , , , , , , , , , , 
0.0365294, -0.0115816, 0.3105, -0.1397705, 0.3105, -0.505249, 0.3105, 0.7996216, 0.3105, -17.3435116, 0.3105, 10.5801525, 0.3105, -6.5801525, 0.0365294, 0.0057069, 0.3105, -0.6217041, 0.3105, -0.6936035, 0.3105, -0.4325562, 0.3105, -20.801527, 0.3105, 9.6030531, 0.3105, 2.2061069, , , , , , , , , , , , , , , , , , , , , , 
0.0373235, -0.0135958, 0.31725, -0.1328125, 0.31725, -0.5056763, 0.31725, 0.7980957, 0.31725, -16.9541988, 0.31725, 10.2748089, 0.31725, -6.8778625, 0.0373235, 0.0078889, 0.31725, -0.6174316, 0.31725, -0.6821289, 0.31725, -0.4263306, 0.31725, -21.1908398, 0.31725, 10.6335878, 0.31725, 1.8015267, , , , , , , , , , , , , , , , , , , , , , 
0.0381176, -0.0149386, 0.324, -0.12854, 0.324, -0.5059204, 0.324, 0.7980957, 0.324, -16.961832, 0.324, 10.3893127, 0.324, -6.6717558, 0.0381176, 0.0048676, 0.324, -0.6174316, 0.324, -0.6771851, 0.324, -0.4225464, 0.324, -21.519083, 0.324, 10.7328243, 0.324, 1.3740458, , , , , , , , , , , , , , , , , , , , , , 
0.0389118, -0.0151064, 0.33075, -0.1226196, 0.33075, -0.5059204, 0.33075, 0.7979126, 0.33075, -17.1145039, 0.33075, 10.8549614, 0.33075, -6.5343513, 0.0389118, 0.0031891, 0.33075, -0.6184692, 0.33075, -0.6795044, 0.33075, -0.4215088, 0.33075, -21.8931293, 0.33075, 9.9312973, 0.33075, 0.8167939, , , , , , , , , , , , , , , , , , , , , , 
0.0397059, -0.0162814, 0.3375, -0.1236572, 0.3375, -0.5103149, 0.3375, 0.8005371, 0.3375, -17.480917, 0.3375, 11.5648851, 0.3375, -6.480916, 0.0397059, 0.0023499, 0.3375, -0.6260376, 0.3375, -0.6904907, 0.3375, -0.4227905, 0.3375, -22.4580154, 0.3375, 8.5648851, 0.3375, 0.4122137, , , , , , , , , , , , , , , , , , , , , , 
0.0405, -0.0129244, 0.34425, -0.1244507, 0.34425, -0.5189819, 0.34425, 0.8017578, 0.34425, -17.7022896, 0.34425, 11.7404585, 0.34425, -6.3129773, 0.0405, 0.0025177, 0.34425, -0.6273193, 0.34425, -0.6985474, 0.34425, -0.4193115, 0.34425, -22.6870232, 0.34425, 7.4656487, 0.34425, 0.6870229, , , , , , , , , , , , , , , , , , , , , , 
0.0412941, -0.0090639, 0.351, -0.1246948, 0.351, -0.5199585, 0.351, 0.7964478, 0.351, -17.6183205, 0.351, 11.7786255, 0.351, -6.1832061, 0.0412941, 0.0057069, 0.351, -0.6290894, 0.351, -0.7106323, 0.351, -0.4145508, 0.351, -22.6488552, 0.351, 6.1145039, 0.351, 1.7175573, , , , , , , , , , , , , , , , , , , , , , 
