file_id,window_idx,MAV,WL,IEMG,VAR,ZC,SSC,WAMP,label
Trial_8,116,0.0041860705346670486,0.0002918193949086366,1.6116371558468137,8.727011799714472e-09,35,52,205,no weight
Trial_8,117,0.004281725884939971,0.0005136490545158152,1.648464465701889,5.484499245987302e-09,35,47,194,no weight
Trial_8,118,0.004100300245572527,0.0007620410193004928,1.5786155945454228,5.005702108536928e-08,44,49,184,no weight
Trial_8,119,0.004020448500872699,0.0021417349430497635,1.5478726728359888,1.527982356415547e-07,40,46,192,no weight
Trial_8,120,0.005226303594062963,0.004039420544582707,2.0121268837142408,1.5569409862760467e-06,32,52,245,no weight
Trial_8,121,0.007215753312830285,0.003127409923334854,2.77806502543966,1.0644918674033808e-06,33,55,249,no weight
Trial_8,122,0.008232150201539466,0.0009360397724185836,3.1693778275926943,3.963222890496762e-08,37,50,226,no weight
Trial_8,123,0.008895551090145629,0.0030933659411399046,3.4247871697060672,7.873180006168663e-07,32,49,257,no weight
Trial_8,124,0.011490671156795139,0.007290972352289675,4.423908395366128,5.508449200667006e-06,28,50,308,no weight
Trial_8,125,0.017133436411167907,0.01714093209163482,6.596373018299644,2.2032045291067373e-05,37,54,338,no weight
Trial_8,126,0.028869974984706614,0.029816422625542814,11.114940369112047,8.731774472307764e-05,40,61,352,no weight
Trial_8,127,0.0496551734102595,0.05877160091937517,19.117241762949906,0.0002586788127482047,41,64,376,heavy
Trial_8,128,0.08835628593647292,0.09606467763276204,34.01717008554208,0.0008949876611035675,44,65,382,heavy
Trial_8,129,0.13396072681362303,0.08177262769941786,51.57487982324486,0.0005178599665713777,44,57,375,heavy
Trial_8,130,0.14835922076460034,0.041666033840004835,57.11829999437113,4.4634145732169035e-05,44,60,372,heavy
Trial_8,131,0.13707216885725837,0.022629675255899512,52.77278501004447,4.908945289643078e-05,43,71,378,heavy
Trial_8,132,0.12791452812531093,0.013993493976964672,49.2470933282447,1.319699559369403e-05,42,72,375,heavy
Trial_8,133,0.12085953578373307,0.01882758532125489,46.53092127673723,2.6303275300623656e-05,48,73,371,heavy
Trial_8,134,0.10846904835911152,0.030743563891130782,41.76058361825793,9.185288419543679e-05,49,71,375,heavy
Trial_8,135,0.09150793865920932,0.03420868951007654,35.23055638379559,9.900054699320916e-05,44,67,376,heavy
Trial_8,136,0.07464754569920268,0.033231669616736015,28.73930509419303,9.180082651340665e-05,43,65,368,heavy
Trial_8,137,0.059726269018067386,0.02323897314526506,22.994613571955945,5.8033173160763396e-05,40,59,360,heavy
Trial_8,138,0.05187045879689053,0.008172815505682884,19.970126636802853,3.364127502493174e-06,30,63,347,heavy
Trial_8,139,0.05022878838242634,0.002625517545644253,19.33808352723414,3.110476436623503e-07,27,62,340,heavy
Trial_8,140,0.050235778401708,0.0022928741945308917,19.340774684657582,2.826981883231929e-07,33,62,355,heavy
Trial_8,141,0.052471505721927346,0.009943459807678683,20.20152970294203,7.416478820606693e-06,30,67,360,heavy
Trial_8,142,0.06052352341103791,0.02227292120396958,23.301556513249594,5.152225978393205e-05,33,62,359,heavy
Trial_8,143,0.07130985013032795,0.02388804691016315,27.454292300176263,2.9267162378104933e-05,36,62,366,heavy
Trial_8,144,0.07219322533481684,0.01928006222556987,27.794391753904485,1.774514863879481e-05,31,74,365,heavy
Trial_8,145,0.06686320358799039,0.02391115031863622,25.7423333813763,1.2194806407295959e-05,25,72,366,heavy
Trial_8,146,0.0736601080360324,0.034132459784811525,28.359141593872472,9.41186883772868e-05,23,61,369,heavy
Trial_8,147,0.08898651975670359,0.03182580790236268,34.25981010633088,6.390535900348402e-05,30,59,369,heavy
Trial_8,148,0.09232778327617747,0.021835880419355885,35.54619656132832,1.7452578069663906e-05,35,60,372,heavy
Trial_8,149,0.08495262729862314,0.014005666429694003,32.70676150996991,1.9669405924038937e-05,39,62,371,heavy
Trial_8,150,0.07960293063331067,0.007389116175372773,30.647128293824608,3.381651436533294e-06,40,65,366,heavy
Trial_8,151,0.07676719064615461,0.0059435800704440295,29.555368398769527,2.7105385620704156e-06,33,63,366,heavy
Trial_8,152,0.07333855872024782,0.0077718713348703256,28.23534510729541,5.557077237367511e-06,33,61,373,heavy
Trial_8,153,0.07015924293001179,0.009983090543181694,27.01130852805454,2.681872515508846e-06,37,58,369,heavy
Trial_8,154,0.07196323090920767,0.012482501353301784,27.705843900044954,1.1225357205224413e-05,37,60,364,heavy
Trial_8,155,0.07735071631274316,0.01156363120320325,29.78002578040612,8.241431046359989e-06,33,56,373,heavy
Trial_8,156,0.07845885739878142,0.008349786550676558,30.206660098530843,2.6098448903889833e-06,32,59,371,heavy
Trial_8,157,0.07583701931264442,0.006207279379696645,29.1972524353681,2.2399091632053007e-06,35,65,365,heavy
Trial_8,158,0.07536956304108507,0.0047568781532932175,29.01728177081775,9.172418010464231e-07,31,56,371,heavy
Trial_8,159,0.07697623690952811,0.0033829586495922465,29.635851210168322,8.505214573954648e-07,33,58,371,heavy
Trial_8,160,0.07752565572039301,0.0020377689259215293,29.84737745235131,1.0981274485985168e-07,34,63,365,heavy
Trial_8,161,0.07683156187671004,0.001986646110399115,29.580151322533368,2.918968407600135e-07,38,66,368,heavy
Trial_8,162,0.07562108229723097,0.002855604737333192,29.114116684433924,7.715989036581374e-07,46,67,370,heavy
Trial_8,163,0.0736859075492257,0.005745600905010417,28.369074406451894,2.305178593130964e-06,46,66,367,heavy
Trial_8,164,0.06971041726653432,0.010157987941731353,26.838510647615713,1.0289182347183703e-05,46,65,369,heavy
Trial_8,165,0.06500804300118825,0.012942240833396804,25.028096555457477,5.8296889181699395e-06,39,64,364,heavy
Trial_8,166,0.06629821132624392,0.014567683083170843,25.52481136060391,1.3375459484815998e-05,34,67,361,heavy
Trial_8,167,0.07320036493483933,0.01456086995573358,28.182140499913146,1.834345980915161e-05,31,68,363,heavy
Trial_8,168,0.08016939174361085,0.013314625650646311,30.865215821290175,1.4369072684810045e-05,27,60,366,heavy
Trial_8,169,0.08603182655703666,0.009803404279379993,33.122253224459115,8.890852796149335e-06,30,59,371,heavy
Trial_8,170,0.088468505272232,0.004469607775072562,34.06037452980932,3.8602496216354863e-07,31,70,360,heavy
Trial_8,171,0.08832245832449759,0.004990562347265526,34.00414645493157,6.076556752498839e-07,35,65,364,heavy
Trial_8,172,0.09110036196721481,0.010160960311632258,35.0736393573777,9.824568307531222e-06,35,54,376,heavy
Trial_8,173,0.09563660533605323,0.01526473837774446,36.82009305438049,6.283816791578922e-06,26,53,374,heavy
Trial_8,174,0.09263474476663217,0.02041180087033849,35.66437673515338,2.9985256712122732e-05,26,55,368,heavy
Trial_8,175,0.08288958839254974,0.017427421879465832,31.91249153113165,3.1877261798969344e-05,33,59,370,heavy
Trial_8,176,0.07661673384318478,0.007661574373594354,29.49744252962614,3.5205080236148112e-06,35,62,370,heavy
Trial_8,177,0.07431753494893337,0.004533905596734458,28.61225095533935,1.4678062375093823e-06,31,50,361,heavy
Trial_8,178,0.07144603441237656,0.0069525107215278326,27.506723248764974,4.657379129600063e-06,33,49,363,heavy
Trial_8,179,0.06731521205260278,0.00976852784589808,25.91635664025207,7.181370551704591e-06,33,54,362,heavy
Trial_8,180,0.06162752663782862,0.012982626246851703,23.72659775556402,1.5592272471607206e-05,31,56,354,heavy
Trial_8,181,0.055189981921240555,0.011554684578307557,21.248143039677615,1.1688581586268676e-05,37,64,362,heavy
Trial_8,182,0.052551872082481965,0.006007956280828855,20.232470751755557,6.986064456358604e-07,45,65,367,heavy
Trial_8,183,0.05406350839987397,0.005727240332278678,20.814450733951478,2.214838098649928e-06,42,67,358,heavy
Trial_8,184,0.05804028984967454,0.010180321178793167,22.345511592124698,1.0359092364095568e-05,36,64,363,heavy
Trial_8,185,0.06317220262250654,0.011799668941473239,24.321298009665018,7.324614864218878e-06,32,60,361,heavy
Trial_8,186,0.06354394031530955,0.010846986248561653,24.464417021394176,5.277940129458139e-06,33,59,357,heavy
Trial_8,187,0.059126779621833485,0.009456514650336673,22.763810154405892,8.083277901135557e-06,34,59,361,heavy
Trial_8,188,0.054855920827800164,0.007626680577772105,21.119529518703064,4.479453311874954e-06,32,56,362,heavy
Trial_8,189,0.051670398257098286,0.005627368124262261,19.89310332898284,2.533816356420823e-06,38,53,365,heavy
Trial_8,190,0.050589493317201535,0.00342434315183561,19.47695492712259,2.567872129702902e-07,36,52,360,heavy
Trial_8,191,0.05112642973571888,0.004034139535744524,19.68367544825177,3.185137291561182e-07,27,45,352,heavy
Trial_8,192,0.049435014622144245,0.007410860922396782,19.032480629525534,4.783318471905017e-06,25,53,304,heavy
Trial_8,193,0.04434249751764561,0.016340955909441415,17.071861544293558,1.739748594594163e-05,32,62,236,heavy
Trial_8,194,0.032504021882693836,0.03101242649660566,12.514048424837128,9.751547376927575e-05,40,61,200,no weight
Trial_8,195,0.015381504006020482,0.029208821511712578,5.921879042317886,9.280803828359375e-05,41,62,186,no weight
Trial_8,196,0.0054441129179261865,0.010541232857805794,2.095983473401582,7.3754758305504144e-06,38,64,183,no weight
Trial_8,197,0.0037518268098485504,0.0010882202061307644,1.444453321791692,6.247951007579433e-08,37,68,209,no weight
Trial_8,198,0.003722251901162484,0.001042818811586165,1.4330669819475563,4.853852330988725e-08,34,73,236,no weight
Trial_8,199,0.004137415140071654,0.0008160139825889017,1.592904828927587,6.890724115493471e-08,44,71,235,no weight
Trial_8,200,0.004439171725258928,0.00039104452060951395,1.7090811142246873,9.919791705719378e-09,45,61,221,no weight
Trial_8,201,0.004534850512810937,0.00024706471608168957,1.7459174474322108,1.3847513339470841e-09,34,58,215,no weight
Trial_8,202,0.004459650348209304,0.0004056125651653924,1.716965384060582,1.2959967014306318e-08,30,60,209,no weight
Trial_8,203,0.004264200657534228,0.00047908747678740947,1.6417172531506776,1.2431014619919892e-08,34,56,209,no weight
Trial_8,204,0.004247802027314459,0.00045966967815470796,1.6354037805160666,9.14321760127052e-09,43,57,213,no weight
Trial_8,205,0.004412381997508241,0.00047494646099636734,1.6987670690406729,1.0086278170291219e-08,45,55,200,no weight
Trial_8,206,0.0043934935863638065,0.00052993904490088,1.6914950307500656,1.4845537421221245e-08,44,54,209,no weight
Trial_8,207,0.004149018970781756,0.0005663080129746471,1.5973723037509762,2.664579012218055e-08,43,55,201,no weight
Trial_8,208,0.0038619599557009093,0.0005819170847008179,1.48685458294485,2.8692253257235076e-08,36,51,174,no weight
Trial_8,209,0.0035801379657561983,0.00048358987349887044,1.3783531168161363,2.3855134005609513e-08,41,62,196,no weight
Trial_8,210,0.0033972247847345307,0.00024811218454979514,1.3079315421227944,4.129225351906025e-09,50,70,202,no weight
Trial_8,211,0.003339595425951923,0.00024383045089194574,1.2857442389914904,1.1473995482892915e-09,43,57,194,no weight
Trial_8,212,0.003467066837778532,0.0005190349484314421,1.3348207325447348,2.4687788414731803e-08,37,49,206,no weight
Trial_8,213,0.003745958922964901,0.0006056841820166374,1.4421941853414868,2.6138461067417255e-08,36,47,200,no weight
Trial_8,214,0.0038322623475943573,0.00046145101268381785,1.4754210038238276,5.8613401661469754e-09,39,55,177,no weight
Trial_8,215,0.003708612729449715,0.00045737239753885876,1.4278159008381404,7.133135551364571e-09,37,54,163,no weight
Trial_8,216,0.003778138437139148,0.0006300583718417976,1.454583298298572,2.5642792194379864e-08,38,59,188,no weight
Trial_8,217,0.00406264176436177,0.0007344011699895038,1.5641170792792813,2.8750865826122143e-08,35,57,209,no weight
Trial_8,218,0.0040775415076226,0.0007531531940129397,1.569853480434701,2.5155602395725064e-08,40,63,208,no weight
Trial_8,219,0.003775877206072064,0.0006288360636083415,1.4537127243377446,3.7627551100573374e-08,42,69,204,no weight
Trial_8,220,0.0036026202277764942,0.00031305426321548554,1.3870087876939503,2.455862722115148e-09,34,60,200,no weight
Trial_8,221,0.003640544216600339,0.00020440535273022562,1.4016095233911305,2.670431405461482e-09,41,63,196,no weight
Trial_8,222,0.0037846150272340096,0.0003718081358123431,1.4570767854850937,1.3803375274956416e-08,36,58,191,no weight
Trial_8,223,0.003989266611322148,0.00041855244449199094,1.5358676453590272,1.3438338119357199e-08,26,52,203,no weight
Trial_8,224,0.004062238559141611,0.0003005599585852352,1.56396184526952,2.1244602748040467e-09,33,54,200,no weight
Trial_8,225,0.003996998845549883,0.000342687886735517,1.538844555536705,2.740069019777939e-09,41,56,203,no weight
Trial_8,226,0.0041092606274743685,0.0006108616606659463,1.5820653415776318,2.93681571869487e-08,32,53,209,no weight
Trial_8,227,0.00445615126972488,0.000827134912087215,1.7156182388440786,5.374443556908715e-08,35,53,204,no weight
Trial_8,228,0.004906562984251678,0.000974429804301004,1.889026748936896,8.404786773498464e-08,40,55,213,no weight
Trial_8,229,0.005493274685445199,0.0017421061211722573,2.114910753896402,1.849818808022977e-07,36,52,224,no weight
Trial_8,230,0.006789061033538012,0.003440151965576445,2.6137884979121346,1.200128465810899e-06,38,60,260,no weight
Trial_8,231,0.009042535469242784,0.0062469020075131155,3.481376155658472,2.543647014290041e-06,37,62,279,no weight
Trial_8,232,0.013302533275897196,0.010790570188957375,5.12147531122042,1.1447172779300655e-05,34,53,304,no weight
Trial_8,233,0.021263561001174942,0.02987403383968283,8.186470985452353,4.95280188173637e-05,40,55,348,no weight
Trial_8,234,0.046678250822053166,0.07176074290732545,17.97112656649047,0.0005417911579339796,48,63,372,no weight
Trial_8,235,0.08959892569894037,0.07891561479032998,34.495586394092044,0.0006601107382647802,36,61,378,heavy
Trial_8,236,0.11727599018148518,0.03181936005641545,45.1512562198718,7.711657389846927e-05,34,58,372,heavy
Trial_8,237,0.1233688898069133,0.0045224955636270076,47.49702257566162,1.2949842202109519e-06,40,57,375,heavy
Trial_8,238,0.12655285838292524,0.008211041060238261,48.72285047742622,6.6900601347267485e-06,36,59,381,heavy
Trial_8,239,0.1300895346790104,0.020799256937866106,50.08447085141901,7.943770410470807e-06,38,64,375,heavy
Trial_8,240,0.1186847867285206,0.048322716380983025,45.69364289048043,0.00021197735997590447,44,64,372,heavy
Trial_8,241,0.09059187558348333,0.05549087681875427,34.87787209964108,0.00031134852126386495,42,67,372,heavy
Trial_8,242,0.0695373752267296,0.02874432935848901,26.7718894622909,5.9772211056944636e-05,38,66,363,heavy
Trial_8,243,0.06080157178654906,0.01305802977118882,23.40860513782139,1.321928805874382e-05,35,62,356,heavy
Trial_8,244,0.0535655327919858,0.015883975120763026,20.622730124914533,2.2475889219651706e-05,35,67,352,heavy
Trial_8,245,0.04555093922540385,0.017193224779352145,17.53711160178048,1.9710943059064565e-05,37,67,357,heavy
